CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
75-18-3,Dimetil solfuro,100.0,L,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
127-19-5,Dimethylacetamide,100.0,L,>480,18,>480,10-30,240-480,10-30,10-30,5,<10,<10
77-78-1,DIMETIL MONOSOLFATO,100.0,L,>480,60-120,>480,30-60,120-240,30-60,30-60,60-120,<10,30-60
109-89-7,Dietilammina,100.0,L,>480,17,<10,<5,>480,<10,28,<10,3,6
822-06-0,diisocianato di esametilene,100.0,L,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
67-64-1,Dimethyl Ketone,100.0,L,>480,7,>480,<5,>480,<10,6,2,1,3
60-29-7,Diethyloxide,100.0,L,>480,30-60,<10,10-30,>480,10-30,30-60,<10,<10,10-30
110-85-0,Diethylenediamine,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
68334-30-5,Diesel LS,100.0,L,>480,>480,30-60,>480,>480,>480,>480,30-60,>480,>480
107-06-2,Dicloroetano 1,2-,100.0,L,>480,<10,10-30,<10,30-60,<10,<10,<10,<10,<10
26471-62-5,Desmodur T80,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,40
110-05-4,di-t-butylperoxide,100.0,L,>480,>480,60-120,240-480,240-480,240-480,>480,60-120,120-240,240-480
127-18-4,DICLOROCARBENE,100.0,L,>480,136,<10,70,>480,60-120,133,<10,<10,60-120
67-68-5,DELTAN,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,39,<10,93
111-42-2,DEA,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,120-240,60-120,240-480
108-91-8,Cyclohexanamine,100.0,L,240-480,60-120,30-60,10-30,>480,10-30,30-60,<10,<10,10-30
98-82-8,Cumene,100.0,L,>480,30-60,<10,<10,>480,<10,10-30,<10,<10,10-30
7722-64-7,Condy's crystals,7.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7647-14-5,Cloruro di sodio,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
141-43-5,COLAMMINA,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,120-240,>480,120-240
8007-45-2,crude coal tar,100.0,L,>480,>480,>480,>480,>480,>480,>480,60-120,240-480,>480
1319-77-3,Cresoli misti,100.0,L,240-480,120-240,>480,30-60,>480,30-60,60-120,60-120,10-30,60-120
79-22-1,CLORURO DI METILMETANOATO,100.0,L,240-480,<10,>480,<10,30-60,<10,<10,<10,<10,<10
75-09-2,Cloruro di metilene,100.0,L,>480,<10,<10,<10,23,<10,<10,<10,<10,2
74-87-3,Cloruro di metile,100.0,G,240-480,10-30,<10,<10,<10,<10,<10,<10,<10,<10
7647-01-0,cloruro di idrogeno,37.0,L,>480,>480,>480,>480,>480,>480,>480,>480,30-60,>480
98-88-4,Cloruro di benzoile,100.0,L,240-480,<10,<10,<10,10-30,<10,<10,<10,<10,<10
